iter	Passed	Remaining
424	1690	2286
425	1692	2280
426	1694	2273
427	1696	2266
428	1698	2260
429	1700	2253
430	1706	2252
431	1708	2246
432	1710	2240
433	1712	2233
434	1715	2227
435	1721	2226
436	1724	2221
437	1727	2216
438	1729	2209
439	1731	2203
440	1738	2203
441	1740	2196
442	1742	2190
443	1744	2184
444	1746	2177
445	1750	2174
446	1759	2176
447	1761	2170
448	1763	2164
449	1765	2158
450	1767	2152
451	1769	2145
452	1771	2139
453	1776	2135
454	1778	2129
455	1780	2123
456	1782	2117
457	1784	2111
458	1786	2105
459	1790	2102
460	1793	2097
461	1795	2091
462	1797	2085
463	1799	2079
464	1801	2073
465	1808	2072
466	1811	2066
467	1813	2061
468	1815	2055
469	1817	2049
470	1819	2043
471	1822	2038
472	1824	2032
473	1826	2026
474	1828	2020
475	1830	2014
476	1832	2009
477	1836	2005
478	1839	2000
479	1847	2001
480	1851	1998
481	1854	1992
482	1856	1987
483	1858	1981
484	1860	1975
485	1862	1970
486	1868	1967
487	1870	1962
488	1872	1956
489	1874	1950
490	1876	1945
491	1878	1939
492	1883	1936
493	1885	1931
494	1887	1925
495	1889	1920
496	1891	1914
497	1893	1908
498	1895	1903
499	1897	1897
500	1899	1892
501	1901	1886
502	1903	1881
503	1905	1875
504	1911	1873
505	1913	1868
506	1915	1862
507	1917	1857
508	1919	1851
509	1921	1846
510	1927	1844
511	1929	1838
512	1931	1833
513	1933	1828
514	1935	1822
515	1937	1817
516	1941	1814
517	1944	1809
518	1946	1804
519	1949	1799
520	1952	1795
521	1958	1793
522	1960	1787
523	1962	1782
524	1964	1777
525	1966	1771
526	1968	1766
527	1973	1764
528	1975	1758
529	1977	1753
530	1979	1748
531	1981	1743
532	1983	1737
533	1989	1735
534	1991	1730
535	1993	1725
536	1995	1720
537	1997	1714
538	1999	1709
539	2004	1707
540	2006	1702
541	2008	1696
542	2010	1691
543	2012	1686
544	2014	1681
545	2019	1679
546	2021	1674
547	2023	1669
548	2025	1664
549	2027	1659
550	2029	1654
551	2047	1661
552	2051	1658
553	2053	1653
554	2056	1648
555	2058	1643
556	2060	1638
557	2062	1633
558	2068	1631
559	2070	1626
560	2072	1621
561	2074	1616
562	2076	1611
563	2082	1609
564	2084	1604
565	2086	1600
566	2088	1595
567	2090	1590
568	2092	1585
569	2110	1592
570	2115	1589
571	2118	1584
572	2120	1579
573	2122	1574
574	2124	1570
575	2126	1565
576	2130	1562
577	2132	1557
578	2134	1552
579	2137	1547
580	2139	1542
581	2141	1537
582	2146	1535
583	2148	1530
584	2150	1525
585	2152	1520
586	2154	1516
587	2156	1511
588	2170	1514
589	2172	1509
590	2177	1507
591	2179	1502
592	2181	1497
593	2184	1492
594	2186	1488
595	2188	1483
596	2193	1480
597	2195	1475
598	2197	1470
599	2199	1466
600	2201	1461
601	2203	1456
602	2209	1454
603	2211	1450
604	2213	1445
605	2215	1440
606	2217	1435
607	2219	1431
608	2223	1427
609	2225	1423
610	2228	1418
611	2230	1413
612	2232	1409
613	2234	1404
614	2247	1406
615	2249	1402
616	2251	1397
617	2265	1400
618	2267	1395
619	2272	1392
620	2274	1388
621	2276	1383
622	2278	1378
623	2280	1374
624	2282	1369
625	2288	1367
626	2290	1362
627	2292	1358
628	2294	1353
629	2296	1348
630	2298	1344
631	2304	1342
632	2306	1337
633	2308	1332
634	2310	1328
635	2312	1323
636	2314	1319
637	2319	1316
638	2321	1311
639	2336	1314
640	2338	1309
641	2340	1305
642	2342	1300
643	2344	1295
644	2346	1291
645	2350	1288
646	2352	1283
647	2357	1280
648	2360	1276
649	2362	1271
650	2367	1268
651	2369	1264
652	2371	1260
653	2373	1255
654	2375	1251
655	2377	1246
656	2383	1244
657	2385	1239
658	2387	1235
659	2389	1230
660	2391	1226
661	2393	1221
662	2399	1219
663	2401	1215
664	2403	1210
665	2405	1206
666	2407	1202
667	2411	1198
668	2413	1194
669	2415	1189
670	2418	1185
671	2420	1181
672	2422	1176
673	2424	1172
674	2429	1169
675	2431	1165
676	2433	1161
677	2435	1156
678	2437	1152
679	2439	1148
680	2445	1145
681	2447	1141
682	2450	1137
683	2452	1132
684	2454	1128
685	2458	1125
686	2460	1121
687	2463	1116
688	2467	1113
689	2469	1109
690	2475	1106
691	2477	1102
692	2479	1098
693	2481	1094
694	2483	1089
695	2485	1085
696	2490	1082
697	2492	1078
698	2494	1074
699	2496	1070
700	2498	1065
701	2500	1061
702	2505	1058
703	2507	1054
704	2509	1050
705	2511	1045
706	2513	1041
707	2515	1037
708	2517	1033
709	2522	1030
710	2524	1025
711	2526	1021
712	2528	1017
713	2530	1013
714	2532	1009
715	2536	1006
716	2539	1002
717	2541	998
718	2543	993
719	2545	989
720	2547	985
721	2553	983
722	2555	979
723	2557	974
724	2559	970
725	2561	966
726	2563	962
727	2567	959
728	2569	955
729	2572	951
730	2575	947
731	2578	943
732	2579	939
733	2585	936
734	2587	932
735	2589	928
736	2591	924
737	2593	920
738	2595	916
739	2612	917
740	2614	913
741	2616	909
742	2618	905
743	2620	901
744	2622	897
745	2624	893
746	2629	890
747	2631	886
748	2633	882
749	2635	878
750	2637	874
751	2639	870
752	2645	867
753	2647	863
754	2649	859
755	2651	855
756	2653	851
757	2655	847
